0.027	0.193
0.054	0.219
0.080	0.245
0.106	0.258
0.136	0.296
0.163	0.309
0.190	0.322
0.217	0.348
0.244	0.361
0.271	0.387
0.298	0.400
0.325	0.400
0.352	0.400
0.378	0.400
0.404	0.451
0.432	0.451
0.459	0.490
0.486	0.503
0.513	0.503
0.539	0.529
0.565	0.554
0.590	0.567
0.617	0.567
0.643	0.606
0.670	0.619
0.696	0.619
0.723	0.632
0.749	0.657
0.775	0.657
0.802	0.670
0.829	0.709
0.856	0.709
0.882	0.722
0.909	0.722
0.935	0.735
0.961	0.773
0.987	0.773
1.014	0.799
1.041	0.812
1.066	0.812
1.094	0.812
1.120	0.812
1.147	0.812
1.173	0.812
1.200	0.812
1.226	0.864
1.253	0.902
1.280	0.915
1.306	0.915
1.332	0.941
1.358	0.967
1.385	0.980
1.411	0.980
1.437	1.005
1.464	1.018
1.491	1.018
1.516	1.018
1.542	1.044
1.568	1.070
1.593	1.070
1.620	1.083
1.647	1.109
1.672	1.121
1.698	1.134
1.725	1.134
1.751	1.147
1.777	1.147
1.802	1.173
1.829	1.186
1.855	1.186
1.881	1.212
1.908	1.225
1.935	1.237
1.961	1.237
1.987	1.250
2.013	1.276
2.040	1.276
2.066	1.276
2.093	1.315
2.118	1.328
2.145	1.328
2.172	1.328
2.197	1.328
2.223	1.354
2.251	1.354
2.277	1.379
2.303	1.392
2.330	1.392
2.356	1.418
2.382	1.418
2.408	1.431
2.435	1.444
2.462	1.444
2.487	1.457
2.514	1.457
2.542	1.482
2.567	1.482
2.593	1.482
2.619	1.495
2.646	1.521
2.673	1.534
2.698	1.534
2.725	1.547
2.751	1.547
2.777	1.547
2.803	1.560
2.830	1.560
2.856	1.586
2.882	1.598
2.909	1.598
2.936	1.598
2.962	1.237
2.988	0.000
3.015	0.000
3.041	0.000
3.067	0.000
3.093	0.000
3.121	0.000
3.147	0.000
3.172	0.000
3.199	0.000
3.225	0.000
3.251	0.000
3.277	0.013
3.304	0.039
3.330	0.052
3.356	0.090
3.382	0.090
3.409	0.116
3.435	0.142
3.462	0.155
3.488	0.180
3.514	0.193
3.540	0.193
3.567	0.219
3.593	0.245
3.619	0.258
3.646	0.296
3.673	0.309
3.698	0.309
3.724	0.322
3.752	0.361
3.778	0.361
3.804	0.387
3.832	0.400
3.857	0.400
3.883	0.400
3.910	0.451
3.937	0.451
3.963	0.490
3.989	0.503
4.016	0.503
4.042	0.529
4.068	0.529
4.095	0.567
4.122	0.567
4.147	0.593
4.174	0.606
4.201	0.619
4.227	0.632
4.253	0.657
4.280	0.657
4.306	0.670
4.332	0.696
4.357	0.709
4.383	0.722
4.409	0.722
4.434	0.735
4.460	0.761
4.486	0.773
4.513	0.773
4.540	0.799
4.566	0.812
4.593	0.812
4.620	0.812
4.646	0.812
4.672	0.812
4.699	0.812
4.725	0.864
4.751	0.902
4.777	0.915
4.804	0.915
4.830	0.928
4.857	0.941
4.883	0.980
4.909	0.980
4.935	1.005
4.963	1.018
4.989	1.018
5.015	1.018
5.041	1.044
5.068	1.070
5.093	1.070
5.120	1.083
5.147	1.109
5.174	1.121
5.201	1.134
5.228	1.134
5.253	1.147
5.280	1.173
5.307	1.031
5.333	0.000
5.359	0.000
5.386	0.000
5.413	0.000
5.439	0.000
5.466	0.000
5.493	0.000
5.519	0.000
5.546	0.000
5.573	0.000
5.599	0.000
5.625	0.000
5.652	0.000
5.679	0.000
5.705	0.000
5.731	0.000
5.758	0.000
5.784	0.000
5.811	0.000
5.838	0.000
5.864	0.000
5.890	0.000
5.917	0.000
5.943	0.000
5.969	0.000
5.996	0.000
6.022	0.000
6.049	0.000
6.075	0.000
6.101	0.000
6.127	0.000
6.154	0.000
6.181	0.000
6.207	0.000
6.234	0.000
6.260	0.000
6.286	0.000
6.313	0.000
6.339	0.000
6.366	0.000
6.393	0.000
6.419	0.000
6.445	0.000
6.472	0.000
6.499	0.013
6.525	0.039
6.552	0.039
6.578	0.090
6.604	0.090
